mid,name,director,scriptwriter,mainPlayers,categories,productCountry,tags,ratingCount,star5,star4,star3,star2,star1,language
2367860,婚姻物语,,,郑伊健,,香港;,TVB;港剧;郑伊健;陈松伶;古天乐;电视剧;香港;1994;,428.0,9.6,33.2,53.3,3.7,0.2, 普通话/国语
2368641,情人节 Valentine's Day,盖瑞·马歇尔,凯瑟琳·富盖特,朱莉娅·罗伯茨,喜剧;爱情;,美国;,爱情;美国;浪漫;喜剧;2010;轻喜剧;温暖;群戏;,65654.0,8.3,38.9,46.5,5.6,0.7, 英语
2369549,公众之敌 Public Enemies,迈克尔·曼,Ronan Bennett,约翰尼·德普,剧情;传记;历史;犯罪;,美国;,美国;犯罪;黑帮;传记;Depp;2009;警匪;剧情;,37490.0,13.0,43.7,37.7,5.0,0.7, 英语
2369845,嫌疑人X的献身 容疑者Xの献身,西谷弘,福田靖,福山雅治,剧情;悬疑;犯罪;,日本;,东野圭吾;福山雅治;推理;日本电影;日本;悬疑;柴崎幸;堤真一;,39321.0,31.2,50.4,17.3,1.0,0.2, 日语
2371910,大唐芙蓉园,周晓文,,范冰冰,,中国大陆;,范冰冰;电视剧;赵文瑄;国产电视剧;古装;大唐芙蓉园;大陆;爱情;,159.0,7.5,24.5,54.7,10.7,2.5, 汉语普通话
2373240,紫藤恋,刘逢声,,韩在石,剧情;爱情;,台湾;,台剧;林心如;台湾偶像剧;韩在石;电视剧;爱情;2004;台湾;,248.0,4.0,9.3,62.9,20.6,3.2, 普通话/国语
2373251,医家四姐妹 네 자매 이야기,李振石,,蔡琳,,韩国;,韩剧;蔡琳;韩宰硕;医家四姐妹;看过的电视剧;爱情;池珍熙;韩国;,292.0,5.1,32.2,56.8,4.8,1.0, 韩语
2373266,女才男貌,蒋家骏,周涌,于娜,剧情;爱情;,中国大陆;,电视剧;国产电视剧;黄晓明;于娜;女才男貌;大陆;爱情;印小天;,727.0,2.5,9.1,53.0,28.2,7.3, 汉语普通话
2373361,出头当自强 我要FIT-FIT,吴冠宇,蔡婷婷,文颂娴,,香港;,TVB;港剧;文颂娴;袁洁莹;郑嘉颖;香港;电视剧;沈殿霞;,272.0,15.4,33.5,46.0,4.0,1.1, 粤语
2374946,史前巨鳄 Supercroc,Scott Harper,Steve Bevilacqua,Kim Little,动作;科幻;恐怖;,美国;,惊悚;美国;灾难;恐怖;美国电影;科幻;电影;动物;,335.0,1.8,9.0,54.6,25.4,9.3, 英语
2377598,爱迪生之母 エジソンの母,武藤淳,大森美香,伊东美咲,剧情;,日本;,日剧;伊東美咲;谷原章介;日本;爱迪生之母;日劇;08冬;細田義彥;,562.0,14.8,32.9,44.3,6.6,1.4, 日语
2377624,十字架与吸血鬼 ロザリオとバンパイア,稲垣隆行,山口宏,岸尾だいすけ,动画;,日本;,动漫;日本动画;动画;日本;后宫;十字架与吸血鬼;吸血鬼;Anime;,778.0,5.5,17.6,55.9,16.2,4.8, 日语
2378656,末代皇妃,滕文骥,张永琛,蒋勤勤,,中国大陆;,电视剧;蒋勤勤;国产电视剧;大陆;末代皇妃;历史;中国;李亚鹏;,427.0,4.9,19.4,63.2,10.5,1.9, 汉语普通话
2380963,大头绿衣斗僵尸,李添胜,,郑秀文,,香港;,TVB;郑秀文;港剧;香港;电视剧;钱小豪;僵尸;恐怖;,223.0,32.3,43.9,21.5,1.3,0.9, 粤语
2381089,今生无悔,未知,未知,黎明,,香港;,TVB;港剧;黎明;温兆伦;周海媚;邵美琪;电视剧;香港;,387.0,27.6,39.5,31.0,1.8,0.0, 普通话/国语 / 粤语
2381939,青鸟的天空,张建栋,彭三源,张　延,,中国大陆;,电视剧;国产电视剧;王学兵;张延;青鸟的天空;大陆;情感;内地电视剧;,359.0,49.6,36.2,12.8,1.1,0.3, 汉语普通话
2382920,大过年,黄力加,,徐帆,,中国大陆;,电视剧;家庭;国产电视剧;大陆电视剧;婚姻;大过年;徐帆;北京;,257.0,31.9,50.2,15.2,2.3,0.4, 汉语普通话
2389255,完美,张建栋,吴海燕,袁泉,,中国大陆;,袁泉;电视剧;国产电视剧;王学兵;完美;爱情;孙菲菲;大陆;,366.0,30.1,45.6,21.0,2.5,0.8, 汉语普通话
2389526,致命邂逅,丁黑,张 欣,涓子,,中国大陆;,电视剧;国产电视剧;袁立;爱情;辛柏青;大陆;涓子;内地电视剧;,273.0,23.8,38.8,34.1,2.6,0.7, 普通话/国语
2411395,舍廊房选手与妈妈,林英成,朱耀燮（原作）,郑俊浩,,韩国;,韩国;喜剧;韩国电影;舍廊房选手与妈妈;爱情;2006;郑俊浩;电影;,222.0,4.1,14.4,62.6,14.0,5.0, 朝鲜语
2568022,当家的女人,张晓春 Xiaochun Zhang,周喜俊,王茜华 Qianhua Wang,,中国大陆;,电视剧;农村;国产电视剧;家庭;当家的女人;大陆;王茜华;中国电视剧;,252.0,13.9,45.6,35.7,4.4,0.4, 普通话/国语
2568081,挖人行动 스카우트,金贤锡,,林昌正,喜剧;,韩国;,韩国;任昌丁;韩国电影;喜剧;爱情;挖人行动;搞笑;2007;,245.0,13.5,26.5,45.3,11.0,3.7, 朝鲜语
2765450,绝对控制,张建栋,杨海波,王学兵,剧情;悬疑;犯罪;,中国大陆;,电视剧;王学兵;警匪;苗圃;国产电视剧;大陆;犯罪;绝对控制;,353.0,39.9,38.5,19.0,2.3,0.3, 普通话/国语
2765508,我的泪珠儿,成浩,王宛平,原华,,中国大陆;,国产电视剧;电视剧;亲情;我的泪珠儿;大陆;大陆电视剧;国产剧;内地;,192.0,14.6,28.6,51.0,3.6,2.1, 普通话/国语
2918319,白银谷,苏舟,,杜雨露,,中国大陆;,电视剧;晋商;国产电视剧;宁静;侯勇;白银谷;大陆;连续剧;,328.0,22.3,48.2,25.6,3.4,0.6, 汉语普通话
2922110,无树之山 Treeless Mountain,金素英,,Hee-yeon Kim,,美国;韩国;,韩国电影;韩国;金素英;无树之山;儿童;2008;剧情;电影;,368.0,22.3,51.9,23.4,1.9,0.5, 韩语
2969282,七磅 Seven Pounds,加布里尔·穆奇诺,Grant Nieporte,威尔·史密斯,剧情;,美国;,WillSmith;美国;威尔·史密斯;人性;剧情;美国电影;七磅;2008;,64746.0,30.2,46.8,20.5,2.1,0.3, 英语 / 西班牙语
2972562,日在校园 - 情人节 School Days LxH,元永慶太郎,上江洲诚,平川大輔,,日本;,OVA;动画;日本动画;日本;动漫;Anime;爱情;アニメ;,428.0,8.6,18.0,54.2,15.0,4.2, 日语
2973634,南洋第一邪降,陈奥图,郑忠泰,徐锦江,,香港;,香港;情色;三級;徐锦江;南洋第一邪降;恐怖;香港电影;南洋十大邪术;,217.0,6.5,17.5,53.5,18.4,4.1, 粤语
2974278,蓝色情人节 Blue Valentine,德里克·斯安弗朗斯,德里克·斯安弗朗斯,瑞恩·高斯林,剧情;爱情;家庭;,美国;,爱情;美国;婚姻;2010;剧情;家庭;文艺;生活;,36514.0,20.1,49.6,27.4,2.5,0.4, 英语
2976123,文雀,杜琪峰,银河创作组,任达华,剧情;爱情;,香港;,杜琪峰;香港;香港电影;任达华;林熙蕾;文雀;银河映像;2008;,26734.0,5.8,30.9,48.8,12.3,2.2, 粤语 / 普通话
2978962,恒河 Ganges,Tom Hugh-Jones,,Sudha Bhuchar,纪录片;,英国;,纪录片;BBC;印度;人文地理;英国;India;Ganges;Documentary;,409.0,39.4,47.7,11.5,1.2,0.2, 英语
2980265,"阴兽 Inju, la bête dans l'ombre",巴贝特·施罗德,Jean-Armand Bougrelle,伯努瓦·马吉梅,悬疑;惊悚;,法国;日本;,法国;日本;江户川乱步;悬疑;惊悚;法国电影;日本电影;恐怖;,593.0,2.7,16.7,51.6,22.9,6.1, 法语 / 日语 / 英语
2981395,都市六人行,尚敬,吴画山,刘敏,,中国大陆;,情景喜剧;尚敬;都市六人行;电视剧;喜剧;大陆;国产;郑恺;,190.0,21.1,40.5,30.0,4.2,4.2, 普通话/国语 / 粤语
2988842,和味浓情 和味濃情,庄伟建,陈金铃,苏玉华,,香港;,TVB;港剧;陶大宇;苏玉华;电视剧;香港;和味浓情;美食;,842.0,6.2,21.7,59.7,10.7,1.7, 粤语
2988971,你的生命如此多情,尹力,,张静初,,中国大陆;,海岩;电视剧;国产电视剧;张静初;爱情;刘栋;大陆;大陆剧;,294.0,8.8,32.7,49.7,6.8,2.0, 普通话/国语
2988975,百年恩来,邓在军,,,,中国大陆;,纪录片;周恩来;传记;中国;百年恩来;周总理;伟人;圣人;,178.0,79.2,13.5,5.6,1.1,0.6, 普通话/国语
2990023,摇摆女郎,杨文军,徐萌,叶童/林熙蕾/王海珍/薛佳凝,,中国大陆;,电视剧;国产电视剧;叶童;林熙蕾;薛佳凝;王喜;大陆;摇摆女郎;,257.0,1.9,6.2,44.7,37.0,10.1, 普通话/国语
2990228,世界历史,阎晓明,,阎晓明,纪录片;历史;,中国大陆;,纪录片;世界历史;历史;cctv;中国;2008;大陆;以史为鉴。;,257.0,33.5,43.2,17.9,4.3,1.2, 普通话/国语
2993101,风吹云动星不动,刘心刚,,黄觉,,中国大陆;,国产电视剧;电视剧;风吹云动星不动;赵宝刚;廖凡;俞飞鸿;黄觉;李小璐;,247.0,17.8,45.3,34.0,2.0,0.8, 普通话/国语
2995188,肝胆昆仑,梁材远,,吴卓羲,,香港;,TVB;陈键锋;吴卓羲;港剧;香港;苏玉华;肝胆昆仑;电视剧;,218.0,7.8,18.3,57.3,12.4,4.1, 粤语
2995883,关中匪事,张汉杰,庞一川,田海蓉,,中国大陆;,电视剧;国产电视剧;关中匪事;田海蓉;土匪;大陆;中国;关中往事;,839.0,40.8,40.8,17.2,1.1,0.2, 普通话/国语
2995904,军人机密,張黎,海波,王学圻,,中国大陆;,电视剧;国产电视剧;李光洁;军人机密;王学圻;张黎;大陆;2004;,452.0,25.9,52.2,19.9,1.8,0.2, 普通话/国语
2996608,五十活死人 Fifty Dead Men Walking,Kari Skogland,Kari Skogland,本·金斯利,剧情;惊悚;,英国;加拿大;,英国;政治;剧情;英国电影;JimSturgess;2008;恐怖;加拿大;,464.0,5.8,39.2,48.3,6.2,0.4, 英语
2996623,女人花,姚晓峰,吴启泰,刘　涛,剧情;爱情;,中国大陆;,刘涛;电视剧;女人花;冯绍峰;爱情;国产电视剧;秦海璐;大陆;,447.0,15.7,44.5,33.3,4.3,2.2, 普通话/国语
2996640,美味关系 Julie &amp; Julia,诺拉·艾芙隆,诺拉·艾芙隆,梅丽尔·斯特里普,剧情;爱情;传记;,美国;,美食;美国;女性;励志;生活;传记;喜剧;2009;,48476.0,23.3,52.2,23.1,1.3,0.1, 英语
2997052,吾栖之肤 La piel que habito,佩德罗·阿莫多瓦,佩德罗·阿莫多瓦,安东尼奥·班德拉斯,剧情;,西班牙;,西班牙;剧情;2011;悬疑;人性;惊悚;重口味;犯罪;,48731.0,13.5,52.2,30.8,3.0,0.5, 西班牙语
2997134,创战纪 TRON: Legacy,约瑟夫·科辛斯基,亚当·霍罗威茨,加内特·赫德兰,动作;科幻;惊悚;冒险;,美国;,科幻;美国;3D;电子世界争霸战;迪斯尼;美国电影;动作;2010;,43997.0,5.7,24.6,50.4,14.9,4.4, 英语
2997283,望长城,刘效礼,,焦建成,,中国大陆;日本;,纪录片;望长城;中国;刘效礼;中国大陆纪录片;大陆;1990s;经典;,224.0,37.9,41.5,17.0,2.7,0.9, 汉语普通话
2997310,北洋水师,冯小宁,冯小宁,陈宝国,剧情;历史;战争;古装;,中国大陆;,电视剧;历史;战争;陈道明;冯小宁;国产电视剧;北洋水师;陈宝国;,574.0,37.6,41.1,19.5,1.6,0.2, 普通话/国语
2997322,悲伤时唱首歌,胡意涓,李顺慈,黄磊,,中国大陆;,黄磊;悲伤时唱首歌;贾静雯;电视剧;国产电视剧;爱情;人生;大陆电视剧;,283.0,19.8,42.0,31.8,5.7,0.7, 普通话/国语
2997426,有泪尽情流,康洪雷,,徐帆,,中国大陆;,徐帆;电视剧;国产电视剧;感动;康洪雷;自强;女人;大陆;,193.0,31.1,48.7,19.2,1.0,0.0, 普通话/国语
2998253,兰戈 Rango,戈尔·维宾斯基,约翰·洛根,约翰尼·德普,喜剧;动作;动画;家庭;西部;冒险;,美国;,动画;美国;西部;喜剧;2011;冒险;搞笑;励志;,42768.0,20.3,50.5,26.8,2.2,0.3, 英语
2998270,大侦探福尔摩斯 Sherlock Holmes,盖·里奇,Michael Robert Johnson,小罗伯特·唐尼,动作;悬疑;惊悚;犯罪;冒险;,美国;德国;,推理;悬疑;美国;动作;2009;犯罪;黑色幽默;喜剧;,134851.0,11.3,47.8,36.0,4.2,0.7, 英语
2999913,保罗 Paul,格雷格·莫托拉,尼克·弗罗斯特,西蒙·佩吉,喜剧;科幻;冒险;,美国;英国;,喜剧;科幻;英国;黑色幽默;外星人;2011;美国;搞笑;,27599.0,17.9,49.8,29.0,2.8,0.4, 英语
3001077,谍影重重4：伯恩的遗产 The Bourne Legacy,托尼·吉尔罗伊,托尼·吉尔罗伊,杰瑞米·雷纳,动作;惊悚;冒险;,美国;,谍影重重;动作;美国;特工;间谍;经典;2012;电影;,3018.0,18.1,38.4,36.7,5.6,1.3, 英语
3001442,雪天使,,,TORO,,台湾;,台剧;台湾偶像剧;台湾;电视剧;爱情;雪天使;偶像剧;TORO;,632.0,6.2,16.3,53.0,18.2,6.3, 普通话/国语
3002044,外国小孩中国爸,钱晓鸿,林黎胜,周小斌,喜剧;儿童;,中国大陆;,电视剧;国产电视剧;童年回忆;雅克布;童年;外国小孩中国爸;中国;大陆;,548.0,23.9,47.6,25.7,2.2,0.5, 普通话/国语
3003095,春天后母心,,,刘雪华,,台湾;,电视剧;台剧;亲情;台湾;春天后母心;国产电视剧;刘雪华;家庭;,298.0,9.7,28.9,49.7,9.4,2.3, 普通话/国语
3003137,洋葱电影 The Onion Movie,Tom Kuntz,Todd Hanson,Daniel Chacón,喜剧;,美国;,恶搞;美国;喜剧;黑色幽默;洋葱电影;美国电影;2008;黑色;,35518.0,22.1,45.7,27.5,3.8,0.9, 英语 / 俄语
3003174,海棠依旧,黄健中,彭三源,王姬,,中国大陆;,国产电视剧;电视剧;海清;王姬;家庭;大陆;连续剧;中国;,218.0,12.8,47.7,36.7,2.3,0.5, 汉语普通话
3003228,太祖秘史,尤小刚,,马景涛,,中国大陆;,电视剧;国产电视剧;古装;历史;马景涛;太祖秘史;大陆;尤小刚;,846.0,9.5,29.0,52.0,8.0,1.5, 普通话/国语
3003830,恋空,今井夏木,渡边睦月,新垣结衣,剧情;爱情;,日本;,日本电影;爱情;恋空;日本;新垣結衣;三浦春马;青春;新垣结衣;,102202.0,19.6,35.3,34.8,7.8,2.5, 日语
3005442,列车上的女孩 La fille du RER,安德列·泰西内,Odile Barski,凯瑟琳·德纳芙,剧情;,法国;,法国;法国电影;安德烈·泰西内;André_Téchiné;剧情;2009;AndréTéchiné;CatherineDeneuve;,267.0,3.7,32.2,56.9,4.9,2.2, 法语
3005875,2012,罗兰·艾默里奇,罗兰·艾默里奇,约翰·库萨克,剧情;动作;科幻;惊悚;家庭;冒险;灾难;,美国;加拿大;,灾难;美国;震撼;人性;2009;亲情;感动;动作;,185029.0,18.1,47.8,29.5,3.7,0.9, 英语 / 藏语 / 法语 / 汉语普通话 / 北印度语 / 俄语
3006772,第九区 District 9,尼尔·布洛姆坎普,尼尔·布洛姆坎普,沙尔托·科普雷,剧情;动作;科幻;惊悚;,美国;新西兰;,科幻;美国;人性;第九区;种族;反思;讽刺;2009;,136461.0,34.8,42.7,18.7,2.8,0.9, 英语 / 尼安哈语 / 南非荷兰语
3006783,机械师 The Mechanic, 西蒙·韦斯特,肖恩·萨莱诺,杰森·斯坦森,剧情;动作;惊悚;,美国;,动作;美国;2011;杀手;悬疑;犯罪;暴力;机械师;,41130.0,5.0,29.7,55.8,8.5,1.1, 英语
3007773,海盗电台 The Boat That Rocked,理查德·柯蒂斯,理查德·柯蒂斯,比尔·奈伊,剧情;喜剧;爱情;音乐;,英国;德国;美国;法国;,英国;摇滚;海盗电台;音乐;喜剧;理想;励志;2009;,90896.0,52.1,35.0,11.2,1.4,0.4, 英语
3007808,奇石 Shorts,罗伯特·罗德里格兹,罗伯特·罗德里格兹,吉米·本内特,喜剧;家庭;奇幻;,美国;阿联酋;,美国;喜剧;科幻;儿童;奇幻;童趣;2009;美国电影;,705.0,7.7,26.4,51.5,11.3,3.1, 英语
3008247,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,Mark Herman,Mark Herman,大卫·休里斯,剧情;,英国;美国;,二战;战争;穿条纹衣服的男孩;美国;剧情;美国电影;英国;2008;,45256.0,49.0,42.1,8.4,0.5,0.1, 英语
3008816,候车大厅,英达,藏里,方青卓,,中国大陆;,情景喜剧;英达;电视剧;国产电视剧;大陆;中国;喜剧;2000;,582.0,22.0,35.7,35.7,5.7,0.9, 普通话/国语
3010407,艾米莉亚 Amelia,米拉·奈尔,Susan Butler,希拉里·斯万克,剧情;爱情;传记;冒险;,美国;加拿大;,传记;美国;EwanMcGregor;HilarySwank;美国电影;女性;2009;RichardGere;,850.0,4.8,20.9,56.7,15.9,1.6, 英语
3010713,大祠堂,阎建钢,张敬,林心如,,中国大陆;,林心如;电视剧;大祠堂;国产电视剧;家族;爱情;赵鸿飞;古装;,159.0,28.3,45.3,22.6,3.8,0.0, 普通话/国语
3010994,拥抱每一刻花火 擁抱每一刻花火,鈡少雄,司徒慧焯,吴卓羲(Ron,爱情;,香港;,香港;香港电影;张敬轩;吴卓羲;爱情;拥抱每一刻花火;电影;唐诗咏;,315.0,16.5,29.8,42.2,9.8,1.6, 粤语
3011049,姐姐的守护者 My Sister's Keeper,尼克·卡索维茨,Jeremy Leven,卡梅隆·迪亚茨,剧情;家庭;,美国;,亲情;美国;姐姐的守护者;家庭;感人;伦理;温情;剧情;,38326.0,34.2,49.1,15.5,1.0,0.2, 英语
3011051,恐怖游轮 Triangle,克里斯托弗·史密斯,克里斯托弗·史密斯,梅利莎·乔治,剧情;悬疑;惊悚;,英国;澳大利亚;,悬疑;惊悚;心理;澳大利亚;恐怖;2009;澳大利亚电影;恐怖电影;,101867.0,32.7,46.6,18.1,2.0,0.6, 英语
3011091,忠犬八公的故事 Hachi: A Dog's Tale,莱塞·霍尔斯道姆,Stephen P. Lindsey,理查·基尔,,美国;,感人;温情;动物;美国;真实事件改编;温暖;人性;剧情;,155920.0,66.2,27.4,5.9,0.3,0.1, 英语
3011093,成长教育 An Education,罗勒·莎菲,尼克·霍恩比,凯瑞·穆里根,剧情;,英国;,英国;成长;青春;女性;爱情;文艺;2009;剧情;,56199.0,18.7,53.4,25.8,1.7,0.3, 英语
